Relatorio;de;Eventos;Historicos;de;20/10/2020;-;00:00;ate;20/10/2020;-;15:27
20/out;15:20:57;530;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;EstabCor;00:00;00:30;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;DelayLad;120;450;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;11:27:19;531;CfgParCuba;nildo;VSetPoin;4.26;4.23;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;RuidoRFr;0.000;0.100;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;RuidoRFo;0.036;0.250;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;NumTabOp;2;6;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;NumJanRR;6;3;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;IncRuido;20.00;250.00;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;531;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;VSetPoin;4.21;4.24;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;RuidoRFr;0.000;0.100;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;RuidoRFo;0.041;0.300;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;QuantAlF;1400;1000;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;IncRuido;20.00;250.00;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;532;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;RuidoRFr;0.000;0.100;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;RuidoRFr;0.016;0.150;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;RuidoRFr;0.024;0.200;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;IncRuido;-40.00;100.00;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;IncRuido;40.00;300.00;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;FcGanhoT;10.091;10.113;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;DelayLad;60;450;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;533;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;VSetPoin;4.36;4.24;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;RuidoRFr;0.000;0.100;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;IncRuido;-40.00;100.00;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;IncRuido;40.00;300.00;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;EstabCor;00:00;00:30;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;534;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;VSetPoin;4.20;4.24;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;RuidoRFr;0.024;0.200;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;QuantAlF;1540;1000;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;NumTabOp;9;6;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;IncRuido;-20.00;150.00;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;EstabCor;00:00;00:30;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;DelayLad;20;450;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;AlF3Dia;20;0;--------;;;
20/out;15:20:57;535;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;11:27:29;536;CfgParCuba;nildo;VSetPoin;4.23;4.22;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;VSetPoin;4.22;4.24;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;RuidoRFr;0.024;0.200;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;QuantAlF;1390;1000;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;NMaxMovC;7;5;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;IncRuido;0.00;200.00;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;DelayLad;0;450;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;536;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;VSetPoin;4.18;4.24;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;RuidoRFo;0.200;0.250;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;NumTabOp;7;6;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;LadoQueb;341;0;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;IntervQu;02:40;04:00;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;FcGanhoT;10.128;10.113;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;EaAtraso;10540;4800;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;DerivIni;-0.500;-2.000;--------;;;
20/out;15:20:57;537;CfgParCuba;bolivia;CalcDBQu;05:20;08:00;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;VSetPoin;4.18;4.24;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;VForcaDe;0.00;4.40;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;VEaFraco;30.00;25.00;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;TenLimCa;50.00;0.50;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;LadoRefQ;2;1;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;InverteI;1;0;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;EaPrevDe;0.750;0.650;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;EaAtraso;10540;4800;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;DerivIni;-0.500;-2.000;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;DerivIni;0.650;0.550;--------;;;
20/out;15:20:57;538;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;VSetPoin;4.20;4.24;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;VEaFraco;30.00;25.00;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;TFMoveBa;0;3;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;LadoRefQ;2;1;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;IntervQu;02:40;04:00;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;FcGanhoT;10.035;10.113;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;EaPrevDe;0.750;0.650;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;EaAtraso;10540;4800;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;DelayLad;0;425;--------;;;
20/out;15:20:57;539;CfgParCuba;bolivia;CalcDBQu;05:20;08:00;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;VSetPoin;4.20;4.24;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;VEaFraco;30.00;25.00;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;TVerTens;0;120;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;TForcaDe;0;360;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;RuidoRFr;0.120;0.150;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;HoraRefC;00:00;14:00;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;FcGanhoT;10.023;10.113;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;EaAtraso;10540;4800;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;DelayLad;0;425;--------;;;
20/out;15:20:57;540;CfgParCuba;bolivia;CalcDBQu;05:20;08:00;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;VSetPoin;3.00;4.24;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;VEaFraco;0.00;25.00;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;TForcaDe;0;360;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;TFMoveBa;0;3;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;TEfeitoE;00:00;00:05;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;RuidoLFr;0.000;0.060;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;RuidoLFo;0.000;0.140;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;RMinLiga;0.00;2.50;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;NumTabOp;0;6;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;NQuebAtr;30;2;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;NCicIniE;0;8;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;LadoDobr;102;0;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;HoraRefQ;01:20;00:00;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;FcOffTen;-106.820;-122.080;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;DerivIni;-0.500;-2.000;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;DelayLad;0;425;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;CoefAngU;0.00;0.00;--------;;;
20/out;15:20:57;541;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;VSetPoin;4.22;4.24;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;TFMoveBa;0;3;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;NQuebLog;27;18;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;HoraRefC;00:00;14:00;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;EaPrevDe;0.750;0.650;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;DelayLad;0;425;--------;;;
20/out;15:20:57;542;CfgParCuba;bolivia;AcrescBM;0.00;0.00;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;VSetPoin;4.21;4.24;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;TFMoveBa;0;3;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;RuidoRFo;0.200;0.250;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;NumTabOp;0;6;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;LimSupQP;680;960;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;LadoQueb;341;0;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;IntervQu;02:40;04:00;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;IncTPino;80;40;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;HabElimi;0;1;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;FcGanhoT;10.103;10.113;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;EaPrevDe;0.750;0.650;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;DerivIni;-0.500;-2.000;--------;;;
20/out;15:20:57;543;CfgParCuba;bolivia;DerivIni;0.650;0.550;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;VSetPoin;4.21;4.24;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;VEaFraco;30.00;25.00;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;TVerTens;0;120;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;TenLimCa;50.00;0.50;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;NumTabOp;5;6;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;NQuebLog;27;18;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;LadoRefQ;2;1;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;544;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;VForcaDe;0.00;4.40;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;LimSupQP;680;960;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;HoraRefQ;01:20;00:00;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;GrupoMov;3;1;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;EaAtraso;10540;4800;--------;;;
20/out;15:20:57;545;CfgParCuba;bolivia;DelayLad;0;425;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;VForcaDe;0.00;4.40;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;RuidoRFr;0.062;0.100;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;RuidoRFo;0.250;0.300;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;NumTabOp;7;6;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;NQuebLog;27;18;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;IncTPino;80;40;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;HoraRefC;00:00;14:00;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;HabElimi;0;1;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;FcOffTen;-152.600;-122.080;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;DerivIni;0.650;0.550;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;DelayLad;0;450;--------;;;
20/out;15:20:57;546;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;VSetPoin;4.18;4.24;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;RuidoRFr;0.120;0.150;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;LadoRefQ;2;1;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;IntervQu;02:40;04:00;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;HoraRefQ;01:20;00:00;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;HoraRefC;00:00;14:00;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;HabEvRui;0;1;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;ForcaSub;0;1;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;EaPrevDe;0.750;0.650;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;547;CfgParCuba;bolivia;DerivIni;-0.500;-2.000;--------;;;
