Relatorio;de;Eventos;Historicos;de;20/10/2020;-;00:00;ate;20/10/2020;-;15:27
20/out;15:20:57;515;CfgParCuba;bolivia;FcOffTen;-152.600;-122.080;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;FcGanhoT;10.097;10.113;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;DelayLad;800;450;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;DelayLad;75;425;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;11:39:34;516;CfgParCuba;nildo;VSetPoin;4.20;4.18;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;VSetPoin;4.18;4.24;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;HoraRefC;16:00;14:00;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;FcOffTen;-167.860;-122.080;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;FcGanhoT;10.154;10.113;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;DelayLad;825;450;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;DelayLad;50;425;--------;;;
20/out;15:20:57;516;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;11:39:29;517;CfgParCuba;nildo;VSetPoin;4.20;4.18;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;VSetPoin;4.18;4.24;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;HoraRefC;16:00;14:00;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;FcOffTen;-106.820;-122.080;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;DelayLad;850;450;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;DelayLad;25;425;--------;;;
20/out;15:20:57;517;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;11:39:20;518;CfgParCuba;nildo;VSetPoin;4.20;4.18;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;VSetPoin;4.18;4.24;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;HoraRefC;16:00;14:00;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;FcOffTen;-183.120;-122.080;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;FcGanhoT;10.144;10.113;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;DelayLad;875;450;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;DelayLad;0;425;--------;;;
20/out;15:20:57;518;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;11:26:31;519;CfgParCuba;nildo;VSetPoin;4.30;4.25;--------;;;
20/out;11:26:40;519;CfgParCuba;nildo;VSetPoin;4.25;4.23;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;RuidoRFr;0.016;0.100;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;RuidoRFr;0.024;0.150;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;RuidoRFr;0.036;0.200;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;RuidoRFo;0.041;0.250;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;RuidoRFo;0.044;0.300;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;QuantAlF;1390;1000;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;QuantAlF;1260;1000;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NumTabOp;9;6;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NumJanRR;6;3;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;LimOscil;0.15;0.20;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;LimOscil;0.25;0.35;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IncRuido;-40.00;100.00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IncRuido;-20.00;150.00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IncRuido;20.00;200.00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IncRuido;40.00;250.00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IncRuido;60.00;300.00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HoraRefC;17:00;14:00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;FcOffTen;-91.560;-122.080;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;FcGanhoT;10.119;10.113;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;EaAtraso;28880;4800;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;DelayLad;340;450;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;DelayLad;360;425;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;AlF3Dia;10;0;--------;;;
20/out;15:20:57;519;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;11:26:48;520;CfgParCuba;nildo;VSetPoin;4.31;4.24;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;RuidoRFr;0.062;0.100;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;RuidoRFr;0.120;0.150;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;RuidoRFo;0.200;0.250;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;RuidoRFo;0.250;0.300;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;QuantAlF;1270;1000;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;QuantAlF;1111;1000;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;LimOscil;0.15;0.20;--------;;;
